order_id,order_date,customer_name,city,product,product_type,payment_type,order_value,delay,attempts,risk,status,action
ORD00017,2026-04-11,Anita Kulkarni,Bangalore,Motivational Borosilicate Glass Water Bottle 1L,1L Water Bottle,Debit Card,1091,12,4,High,Returned,Call Customer
ORD00018,2026-04-11,Deepak Kapoor,Mumbai,Borosilicate Glass Water Bottle 750ml,Water Bottle,COD,898,11,5,High,Delivered,Call Customer
ORD00019,2026-04-11,Vikram Iyer,Chennai,Borosilicate Glass Water Bottle 750ml,Water Bottle,UPI,885,2,1,Low,Delivered,Normal Delivery
ORD00020,2026-04-11,Harsh Agarwal,Delhi,Motivational Borosilicate Glass Water Bottle 1L,1L Water Bottle,COD,1096,6,1,Low,Delivered,Normal Delivery
ORD00021,2026-04-11,Nikhil Mishra,Chennai,Customized 1 Litre Bottle,1L Water Bottle,COD,1199,10,5,High,Returned,Call Customer
ORD00022,2026-04-11,Deepak Mehta,Mumbai,Motivational Borosilicate Glass Water Bottle 1L,1L Water Bottle,COD,1129,4,4,Medium,Delivered,Send Reminder
ORD00023,2026-04-11,Divya Saxena,Pune,Motivational Borosilicate Glass Water Bottle 1L,1L Water Bottle,Debit Card,1051,1,5,Low,Delivered,Normal Delivery
ORD00024,2026-04-11,Arjun Dubey,Bhopal,Borosilicate Glass Water Bottle 750ml,Water Bottle,Credit Card,895,5,3,Low,Delivered,Normal Delivery
ORD00025,2026-04-11,Rahul Pandey,Chennai,Borosilicate Glass Water Bottle 750ml,Water Bottle,COD,985,12,5,Low,Delivered,Normal Delivery
ORD00026,2026-04-11,Karan Nair,Bhopal,125ml Glass Baby Feeding Bottle,Baby Bottle,COD,999,4,1,Low,Delivered,Normal Delivery
ORD00027,2026-04-11,Vikram Kulkarni,Mumbai,Motivational Borosilicate Glass Water Bottle 1L,1L Water Bottle,COD,1118,10,3,Medium,Delivered,Send Reminder
ORD00028,2026-04-11,Rahul Pillai,Indore,Borosilicate Glass Water Bottle 750ml,Water Bottle,Credit Card,911,6,3,High,Delivered,Call Customer
ORD00029,2026-04-11,Geeta Sharma,Delhi,Borosilicate Glass Water Bottle 750ml,Water Bottle,Debit Card,977,7,5,High,Returned,Call Customer
ORD00030,2026-04-11,Swati Nair,Delhi,Motivational Borosilicate Glass Water Bottle 1L,1L Water Bottle,Credit Card,1077,8,1,Low,Delivered,Normal Delivery
ORD00031,2026-04-11,Manish Mishra,Delhi,Borosilicate Glass Water Bottle 750ml,Water Bottle,COD,934,12,1,Low,Delivered,Normal Delivery
ORD00032,2026-04-11,Ishaan Nair,Ahmedabad,Motivational Borosilicate Glass Water Bottle 1L,1L Water Bottle,COD,1112,13,4,Medium,Delivered,Send Reminder
ORD00033,2026-04-11,Priya Patel,Kota,Motivational Borosilicate Glass Water Bottle 1L,1L Water Bottle,Debit Card,1109,14,4,Low,Delivered,Normal Delivery
ORD00034,2026-04-11,Simran Reddy,Indore,1L Motivational Glass Sipper Bottle Duo,1L Water Bottle,UPI,2093,10,2,Medium,Delivered,Send Reminder
ORD00035,2026-04-11,Ravi Kumar,Surat,Pack of 4 Stainless Steel Straws,Straws,COD,349,13,4,Low,Delivered,Normal Delivery
ORD00036,2026-04-11,Ravi Verma,Lucknow,125ml Glass Baby Feeding Bottle,Baby Bottle,UPI,999,12,2,Medium,Delivered,Send Reminder
ORD00037,2026-04-11,Manish Shah,Mumbai,Borosilicate Glass Water Bottle 750ml,Water Bottle,COD,963,12,3,Low,Delivered,Normal Delivery
ORD00038,2026-04-11,Tanya Saxena,Bangalore,Motivational Borosilicate Glass Water Bottle 1L,1L Water Bottle,COD,1186,4,2,Low,Delivered,Normal Delivery
ORD00039,2026-04-11,Anita Singh,Delhi,Customized 1 Litre Bottle,1L Water Bottle,UPI,1199,12,3,Medium,Delivered,Send Reminder
ORD00040,2026-04-11,Swati Srivastava,Nagpur,Borosilicate Glass Water Bottle 750ml,Water Bottle,COD,928,6,1,High,Delivered,Call Customer
ORD00041,2026-04-11,Ritu Pandey,Bhopal,Motivational Borosilicate Glass Water Bottle 1L,1L Water Bottle,Debit Card,1066,10,1,Medium,Delivered,Send Reminder
ORD00042,2026-04-11,Kriti Chatterjee,Pune,Borosilicate Glass Water Bottle 750ml,Water Bottle,COD,964,2,2,High,Returned,Call Customer
ORD00043,2026-04-11,Aakash Mishra,Kolkata,Motivational Borosilicate Glass Water Bottle 1L,1L Water Bottle,COD,1093,0,3,Medium,Delivered,Send Reminder
ORD00044,2026-04-11,Divya Ghosh,Surat,Kid's Bento Box - Customizable,Kids,UPI,2109,7,4,Medium,Delivered,Send Reminder
ORD00045,2026-04-11,Sneha Agarwal,Ahmedabad,Motivational Borosilicate Glass Water Bottle 1L,1L Water Bottle,COD,1092,9,3,Medium,Delivered,Send Reminder
ORD00046,2026-04-11,Amit Mehta,Ahmedabad,Customized 1 Litre Bottle,1L Water Bottle,COD,1199,0,1,High,Delivered,Call Customer
ORD00047,2026-04-11,Preeti Agarwal,Pune,Borosilicate Glass Water Bottle 750ml,Water Bottle,UPI,937,11,4,High,Returned,Call Customer
ORD00048,2026-04-11,Anita Chauhan,Ahmedabad,Borosilicate Glass Water Bottle 750ml,Water Bottle,COD,897,12,1,Low,Delivered,Normal Delivery
ORD00049,2026-04-11,Anjali Tripathi,Surat,Borosilicate Glass Water Bottle 750ml,Water Bottle,UPI,901,8,2,Medium,Delivered,Send Reminder
ORD00050,2026-04-11,Rajesh Srivastava,Surat,Motivational Borosilicate Glass Water Bottle 1L,1L Water Bottle,UPI,1083,9,3,Low,Delivered,Normal Delivery
ORD00051,2026-04-11,Rajesh Saxena,Lucknow,Pack of 4 Stainless Steel Straws,Straws,UPI,349,11,4,Low,Delivered,Normal Delivery
ORD00052,2026-04-11,Nidhi Agarwal,Jaipur,250ml Glass Baby Feeding Bottle,Baby Bottle,Credit Card,1049,12,5,High,Returned,Call Customer
ORD00053,2026-04-11,Manoj Iyer,Mumbai,Customized TintCup Coffee Cup 350ml,Coffee Cups,COD,1049,4,3,High,Returned,Call Customer
ORD00054,2026-04-11,Suresh Pillai,Mumbai,TintCup Glass Coffee Cup 350ml,Coffee Cups,COD,916,3,1,High,Returned,Call Customer
ORD00055,2026-04-11,Priya Chatterjee,Hyderabad,Borosilicate Glass Water Bottle 750ml,Water Bottle,COD,948,6,5,Low,Delivered,Normal Delivery
ORD00056,2026-04-11,Manoj Chauhan,Delhi,Borosilicate Glass Lunch Box 300ml,300ml Lunch Box,COD,821,13,4,Low,Delivered,Normal Delivery
ORD00057,2026-04-11,Sunita Jain,Mumbai,Motivational Borosilicate Glass Water Bottle 1L,1L Water Bottle,COD,1173,5,4,High,Delivered,Call Customer
ORD00058,2026-04-11,Varun Srivastava,Delhi,Motivational Borosilicate Glass Water Bottle 1L,1L Water Bottle,COD,1185,0,1,Medium,Delivered,Send Reminder
ORD00059,2026-04-11,Deepak Pillai,Kota,Motivational Borosilicate Glass Water Bottle 1L,1L Water Bottle,COD,1083,5,2,High,Returned,Call Customer
ORD00060,2026-04-11,Sneha Ghosh,Nagpur,Borosilicate Glass Water Bottle 750ml,Water Bottle,COD,976,6,3,Low,Delivered,Normal Delivery
ORD00061,2026-04-11,Varun Gupta,Jaipur,Borosilicate Glass Water Bottle 750ml,Water Bottle,COD,881,3,1,Low,Delivered,Normal Delivery
ORD00062,2026-04-11,Amit Singh,Bhopal,Motivational Borosilicate Glass Water Bottle 1L,1L Water Bottle,COD,1056,2,2,High,Delivered,Call Customer
ORD00063,2026-04-11,Arjun Singh,Chennai,Glass Lunch Box Set of 3 (300ml) without Bag,300ml Lunch Box Combos,COD,1799,12,3,Medium,Delivered,Send Reminder
ORD00064,2026-04-11,Preeti Kumar,Lucknow,Borosilicate Glass Water Bottle 750ml,Water Bottle,Debit Card,978,0,3,High,Returned,Call Customer
ORD00065,2026-04-11,Harsh Gupta,Kolkata,Motivational Borosilicate Glass Water Bottle 1L,1L Water Bottle,Credit Card,1068,11,3,High,Delivered,Call Customer
ORD00066,2026-04-11,Suresh Kulkarni,Chennai,Borosilicate Glass Water Bottle 750ml,Water Bottle,UPI,923,10,3,High,Delivered,Call Customer
ORD00067,2026-04-11,Anita Patel,Pune,Motivational Borosilicate Glass Water Bottle 1L,1L Water Bottle,COD,1076,7,2,Low,Delivered,Normal Delivery
ORD00068,2026-04-11,Sunita Srivastava,Jaipur,125ml Glass Baby Feeding Bottle,Baby Bottle,Debit Card,999,12,5,High,Returned,Call Customer
ORD00069,2026-04-11,Kavya Tripathi,Bangalore,Motivational Borosilicate Glass Water Bottle 1L,1L Water Bottle,COD,1117,4,4,Low,Delivered,Normal Delivery
ORD00070,2026-04-11,Pooja Kulkarni,Chennai,Customized GlassUp Lunch Box 500ml,500ml Lunch Box,UPI,899,7,3,Medium,Delivered,Send Reminder
ORD00071,2026-04-11,Simran Sharma,Mumbai,250ml Glass Baby Feeding Bottle,Baby Bottle,UPI,1049,14,5,Medium,Delivered,Send Reminder
ORD00072,2026-04-11,Kavya Ghosh,Bhopal,Motivational Borosilicate Glass Water Bottle 1L,1L Water Bottle,COD,1181,7,5,Low,Delivered,Normal Delivery
ORD00073,2026-04-11,Kriti Das,Pune,Motivational Borosilicate Glass Water Bottle 1L,1L Water Bottle,COD,1174,6,2,High,Returned,Call Customer
ORD00074,2026-04-11,Manish Tripathi,Chennai,GlassUp Lunch Box Set of 3 (500ml) with Bag,500ml Lunch Box Combos,COD,2720,8,3,Low,Delivered,Normal Delivery
ORD00075,2026-04-11,Manoj Patel,Mumbai,Customized Borosilicate Glass Bottle 750ml,Water Bottle,COD,979,3,3,High,Delivered,Call Customer
ORD00076,2026-04-11,Karan Kumar,Mumbai,Customized Borosilicate Glass Bottle 750ml,Water Bottle,UPI,979,9,5,High,Returned,Call Customer
ORD00077,2026-04-11,Vikas Yadav,Bangalore,250ml Glass Baby Feeding Bottle,Baby Bottle,COD,1049,11,5,Medium,Delivered,Send Reminder
ORD00078,2026-04-11,Karan Sharma,Vadodara,Motivational Borosilicate Glass Water Bottle 1L,1L Water Bottle,UPI,1060,2,4,Medium,Delivered,Send Reminder
ORD00079,2026-04-11,Amit Singh,Mumbai,Borosilicate Glass Water Bottle 750ml,Water Bottle,UPI,952,0,3,Medium,Delivered,Send Reminder
ORD00080,2026-04-11,Meera Pandey,Pune,Motivational Borosilicate Glass Water Bottle 1L,1L Water Bottle,COD,1065,0,2,Medium,Delivered,Send Reminder
ORD00081,2026-04-11,Ishaan Chauhan,Chandigarh,GlassUp Lunch Box 500ml,500ml Lunch Box,COD,820,9,5,Low,Delivered,Normal Delivery
ORD00082,2026-04-11,Anita Pandey,Surat,Customized 1 Litre Bottle,1L Water Bottle,COD,1199,4,5,Low,Delivered,Normal Delivery
ORD00083,2026-04-11,Nidhi Mishra,Kolkata,Borosilicate Glass Water Bottle 750ml,Water Bottle,UPI,951,12,2,Low,Delivered,Normal Delivery
ORD00084,2026-04-11,Suresh Dubey,Ahmedabad,Motivational Borosilicate Glass Water Bottle 1L,1L Water Bottle,COD,1116,1,2,High,Delivered,Call Customer
ORD00085,2026-04-11,Rohan Chauhan,Kolkata,Borosilicate Glass Water Bottle 750ml,Water Bottle,COD,967,11,3,High,Returned,Call Customer
ORD00086,2026-04-11,Anita Singh,Mumbai,Borosilicate Glass Water Bottle 750ml,Water Bottle,UPI,997,12,2,Medium,Delivered,Send Reminder
ORD00087,2026-04-11,Rohan Kapoor,Chennai,Customized Borosilicate Glass Bottle 750ml,Water Bottle,UPI,979,13,2,Low,Delivered,Normal Delivery
ORD00088,2026-04-11,Rajesh Singh,Mumbai,Customized 1 Litre Bottle,1L Water Bottle,COD,1199,9,3,Low,Delivered,Normal Delivery
ORD00089,2026-04-11,Rekha Dubey,Ahmedabad,Glass Lunch Box Set of 3 (300ml) with Bag & Bottle,300ml Lunch Box Combos,UPI,2958,8,5,Low,Delivered,Normal Delivery
ORD00090,2026-04-11,Priya Iyer,Kolkata,Borosilicate Glass Water Bottle 750ml,Water Bottle,Credit Card,889,9,3,Low,Delivered,Normal Delivery
ORD00091,2026-04-11,Harsh Gupta,Patna,Motivational Borosilicate Glass Water Bottle 1L,1L Water Bottle,Credit Card,1107,0,3,Medium,Delivered,Send Reminder
ORD00092,2026-04-11,Pooja Srivastava,Jaipur,Customized Borosilicate Glass Bottle 750ml,Water Bottle,COD,979,7,3,Medium,Delivered,Send Reminder
ORD00093,2026-04-11,Deepak Malhotra,Kolkata,250ml Glass Baby Feeding Bottle,Baby Bottle,UPI,1049,5,4,High,Returned,Call Customer
ORD00094,2026-04-11,Geeta Gupta,Mumbai,Borosilicate Glass Water Bottle 750ml,Water Bottle,COD,988,10,4,Medium,Delivered,Send Reminder
ORD00095,2026-04-11,Vikram Sharma,Pune,250ml Glass Baby Feeding Bottle,Baby Bottle,COD,1049,12,4,Medium,Delivered,Send Reminder
ORD00096,2026-04-11,Nidhi Dubey,Kota,Borosilicate Glass Water Bottle 750ml,Water Bottle,UPI,963,8,3,High,Returned,Call Customer
ORD00097,2026-04-11,Anjali Verma,Delhi,Borosilicate Glass Water Bottle 750ml,Water Bottle,COD,976,4,4,High,Returned,Call Customer
ORD00098,2026-04-11,Sneha Chauhan,Kolkata,Borosilicate Glass Water Bottle 750ml,Water Bottle,COD,959,8,1,High,Returned,Call Customer
ORD00099,2026-04-11,Vikram Yadav,Hyderabad,Motivational Borosilicate Glass Water Bottle 1L,1L Water Bottle,COD,1078,7,3,Low,Delivered,Normal Delivery
ORD00100,2026-04-11,Siddharth Jain,Lucknow,Motivational Borosilicate Glass Water Bottle 1L,1L Water Bottle,Debit Card,1155,8,2,High,Returned,Call Customer
ORD00101,2026-04-11,Simran Sharma,Mumbai,Motivational Borosilicate Glass Water Bottle 1L,1L Water Bottle,UPI,1066,14,5,Medium,Delivered,Send Reminder
ORD00102,2026-04-11,Meera Dubey,Mumbai,Customized 1 Litre Bottle,1L Water Bottle,COD,1199,10,4,Medium,Delivered,Send Reminder
ORD00103,2026-04-11,Deepak Kumar,Hyderabad,Borosilicate Glass Water Bottle 750ml,Water Bottle,COD,947,6,4,Low,Delivered,Normal Delivery
ORD00104,2026-04-11,Deepak Ghosh,Mumbai,Borosilicate Glass Water Bottle 750ml,Water Bottle,COD,968,6,1,Low,Delivered,Normal Delivery
ORD00105,2026-04-11,Rekha Gupta,Indore,Kid's Bento Box - Customizable,Kids,COD,2179,12,2,Low,Delivered,Normal Delivery
ORD00106,2026-04-11,Karan Tripathi,Hyderabad,Motivational Borosilicate Glass Water Bottle 1L,1L Water Bottle,UPI,1081,13,4,Low,Delivered,Normal Delivery
ORD00107,2026-04-11,Amit Saxena,Jaipur,Borosilicate Glass Water Bottle 750ml,Water Bottle,COD,880,2,1,Medium,Delivered,Send Reminder
ORD00108,2026-04-11,Manoj Chatterjee,Bangalore,250ml Glass Baby Feeding Bottle,Baby Bottle,UPI,1049,13,3,Medium,Delivered,Send Reminder
ORD00109,2026-04-11,Ishaan Mehta,Kolkata,Motivational Borosilicate Glass Water Bottle 1L,1L Water Bottle,Credit Card,1130,8,1,Medium,Delivered,Send Reminder
ORD00110,2026-04-11,Anita Malhotra,Kolkata,Motivational Borosilicate Glass Water Bottle 1L,1L Water Bottle,Debit Card,1109,11,1,Low,Delivered,Normal Delivery
ORD00111,2026-04-11,Neha Tiwari,Pune,Motivational Borosilicate Glass Water Bottle 1L,1L Water Bottle,UPI,1074,0,3,Low,Delivered,Normal Delivery
ORD00112,2026-04-11,Arjun Patel,Bangalore,Motivational Borosilicate Glass Water Bottle 1L,1L Water Bottle,COD,1140,9,2,Medium,Delivered,Send Reminder
ORD00113,2026-04-11,Meera Chauhan,Kolkata,Borosilicate Glass Lunch Box 300ml,300ml Lunch Box,COD,719,7,5,Medium,Delivered,Send Reminder
ORD00114,2026-04-11,Manoj Reddy,Hyderabad,125ml Glass Baby Feeding Bottle,Baby Bottle,COD,999,0,4,High,Returned,Call Customer
ORD00115,2026-04-11,Nikhil Tripathi,Delhi,Customized 1 Litre Bottle,1L Water Bottle,Debit Card,1199,4,4,Low,Delivered,Normal Delivery
ORD00116,2026-04-11,Harsh Bose,Mumbai,GlassUp Lunch Box 500ml,500ml Lunch Box,COD,876,3,4,Medium,Delivered,Send Reminder
ORD00117,2026-04-11,Rahul Kapoor,Chennai,125ml Glass Baby Feeding Bottle,Baby Bottle,Debit Card,999,13,4,High,Returned,Call Customer
ORD00118,2026-04-11,Manish Chauhan,Lucknow,Motivational Borosilicate Glass Water Bottle 1L,1L Water Bottle,Credit Card,1176,3,5,Low,Delivered,Normal Delivery
ORD00119,2026-04-11,Nidhi Malhotra,Mumbai,TintCup Glass Coffee Cup 350ml,Coffee Cups,COD,980,12,2,Low,Delivered,Normal Delivery
ORD00120,2026-04-11,Swati Jain,Kolkata,Borosilicate Glass Water Bottle 750ml,Water Bottle,COD,994,0,5,Low,Delivered,Normal Delivery
ORD00121,2026-04-11,Vikas Das,Delhi,125ml Glass Baby Feeding Bottle,Baby Bottle,COD,999,2,2,Low,Delivered,Normal Delivery
ORD00122,2026-04-11,Nisha Singh,Hyderabad,TintCup Glass Coffee Cup 350ml,Coffee Cups,COD,966,14,4,High,Returned,Call Customer
ORD00123,2026-04-11,Geeta Das,Patna,Borosilicate Glass Water Bottle 750ml,Water Bottle,COD,938,13,4,Low,Delivered,Normal Delivery
ORD00124,2026-04-11,Nikhil Chatterjee,Surat,Motivational Borosilicate Glass Water Bottle 1L,1L Water Bottle,COD,1072,7,3,Medium,Delivered,Send Reminder
ORD00125,2026-04-11,Ishaan Chauhan,Delhi,Motivational Borosilicate Glass Water Bottle 1L,1L Water Bottle,COD,1144,14,5,High,Returned,Call Customer
ORD00126,2026-04-11,Anjali Jain,Delhi,Borosilicate Glass Water Bottle 750ml,Water Bottle,Credit Card,961,4,4,Low,Delivered,Normal Delivery
ORD00127,2026-04-11,Manoj Jain,Bhopal,GlassUp Lunch Box Set of 3 (500ml) with Bag,500ml Lunch Box Combos,COD,2610,1,2,Medium,Delivered,Send Reminder
ORD00128,2026-04-11,Tanya Nair,Pune,GlassUp Lunch Box 500ml,500ml Lunch Box,UPI,898,8,4,Low,Delivered,Normal Delivery
ORD00129,2026-04-11,Swati Mishra,Ahmedabad,Motivational Borosilicate Glass Water Bottle 1L,1L Water Bottle,Credit Card,1155,4,1,Medium,Delivered,Send Reminder
ORD00130,2026-04-11,Manoj Bose,Pune,Borosilicate Glass Water Bottle 750ml,Water Bottle,COD,935,10,3,Medium,Delivered,Send Reminder
ORD00131,2026-04-11,Kriti Mishra,Pune,Borosilicate Glass Water Bottle 750ml,Water Bottle,COD,886,13,4,High,Delivered,Call Customer
ORD00132,2026-04-11,Divya Mehta,Delhi,Motivational Borosilicate Glass Water Bottle 1L,1L Water Bottle,COD,1054,12,5,Low,Delivered,Normal Delivery
ORD00133,2026-04-11,Yash Sharma,Mumbai,Motivational Borosilicate Glass Water Bottle 1L,1L Water Bottle,COD,1190,5,2,Low,Delivered,Normal Delivery
ORD00134,2026-04-11,Kriti Verma,Kota,Borosilicate Glass Water Bottle 750ml,Water Bottle,COD,914,4,2,High,Delivered,Call Customer
ORD00135,2026-04-11,Priya Patel,Delhi,GlassUp Lunch Box Set of 2 (500ml),500ml Lunch Box Combos,COD,1549,9,3,Low,Delivered,Normal Delivery
ORD00136,2026-04-11,Amit Dubey,Delhi,Borosilicate Glass Water Bottle 750ml,Water Bottle,UPI,912,11,1,Medium,Delivered,Send Reminder
ORD00137,2026-04-11,Aman Pandey,Bangalore,Borosilicate Glass Water Bottle 750ml,Water Bottle,UPI,978,3,5,Medium,Delivered,Send Reminder
ORD00138,2026-04-11,Karan Kulkarni,Pune,Customized Borosilicate Glass Bottle 750ml,Water Bottle,Debit Card,979,7,4,High,Returned,Call Customer
ORD00139,2026-04-11,Vikas Yadav,Indore,Borosilicate Glass Water Bottle 750ml,Water Bottle,COD,970,9,2,High,Delivered,Call Customer
ORD00140,2026-04-11,Seema Tiwari,Kolkata,Pack of 4 Stainless Steel Straws,Straws,UPI,349,6,5,Low,Delivered,Normal Delivery
ORD00141,2026-04-12,Ishaan Tripathi,Ahmedabad,Replacement Lid for 1L Motivational Bottle,1L Water Bottle,COD,300,0,3,High,Delivered,Call Customer
ORD00142,2026-04-12,Preeti Pandey,Delhi,Motivational Borosilicate Glass Water Bottle 1L,1L Water Bottle,Credit Card,1141,9,4,High,Delivered,Call Customer
ORD00143,2026-04-12,Manish Bose,Bangalore,Borosilicate Glass Water Bottle 750ml,Water Bottle,COD,974,8,1,High,Delivered,Call Customer
ORD00144,2026-04-12,Pooja Kulkarni,Mumbai,Motivational Borosilicate Glass Water Bottle 1L,1L Water Bottle,COD,1086,9,2,High,Delivered,Call Customer
ORD00145,2026-04-12,Varun Rao,Jaipur,Motivational Borosilicate Glass Water Bottle 1L,1L Water Bottle,UPI,1167,14,5,Medium,Delivered,Send Reminder
ORD00146,2026-04-12,Tanya Kapoor,Mumbai,Motivational Borosilicate Glass Water Bottle 1L,1L Water Bottle,COD,1129,4,3,Medium,Delivered,Send Reminder
ORD00147,2026-04-12,Aakash Mehta,Hyderabad,Borosilicate Glass Water Bottle 750ml,Water Bottle,COD,924,0,3,Medium,Delivered,Send Reminder
ORD00148,2026-04-12,Sunita Gupta,Kota,Borosilicate Glass Water Bottle 750ml,Water Bottle,Credit Card,961,8,4,Medium,Delivered,Send Reminder
ORD00149,2026-04-12,Neha Dubey,Indore,Motivational Borosilicate Glass Water Bottle 1L,1L Water Bottle,UPI,1164,9,4,High,Delivered,Call Customer
ORD00150,2026-04-12,Varun Patel,Lucknow,Motivational Borosilicate Glass Water Bottle 1L,1L Water Bottle,Credit Card,1075,1,5,Low,Delivered,Normal Delivery
ORD00151,2026-04-12,Arjun Das,Mumbai,Kid's Bento Box - Customizable,Kids,COD,2009,8,5,Medium,Delivered,Send Reminder
ORD00152,2026-04-12,Neha Pillai,Indore,Motivational Borosilicate Glass Water Bottle 1L,1L Water Bottle,COD,1144,10,5,Low,Delivered,Normal Delivery
ORD00153,2026-04-12,Meera Pillai,Bangalore,Motivational Borosilicate Glass Water Bottle 1L,1L Water Bottle,UPI,1065,4,5,Medium,Delivered,Send Reminder
ORD00154,2026-04-12,Vikas Iyer,Chennai,Borosilicate Glass Water Bottle 750ml,Water Bottle,COD,889,10,4,Medium,Delivered,Send Reminder
ORD00155,2026-04-12,Kriti Iyer,Bangalore,Customized GlassUp Lunch Box 500ml,500ml Lunch Box,COD,899,13,2,Low,Delivered,Normal Delivery
ORD00156,2026-04-12,Rekha Kumar,Hyderabad,Motivational Borosilicate Glass Water Bottle 1L,1L Water Bottle,COD,1157,3,3,Medium,Delivered,Send Reminder
ORD00157,2026-04-12,Kriti Pillai,Mumbai,Customized 1 Litre Bottle,1L Water Bottle,COD,1199,13,1,High,Delivered,Call Customer
ORD00158,2026-04-12,Pooja Reddy,Nagpur,250ml Glass Baby Feeding Bottle,Baby Bottle,UPI,1049,2,2,Medium,Delivered,Send Reminder
ORD00159,2026-04-12,Aakash Dubey,Delhi,Motivational Borosilicate Glass Water Bottle 1L,1L Water Bottle,COD,1161,7,5,Low,Delivered,Normal Delivery
ORD00160,2026-04-12,Siddharth Das,Mumbai,Customized Borosilicate Glass Bottle 750ml,Water Bottle,COD,979,12,4,Low,Delivered,Normal Delivery
ORD00161,2026-04-12,Vikram Thakur,Bhopal,Borosilicate Glass Water Bottle 750ml,Water Bottle,Debit Card,965,4,4,Medium,Delivered,Send Reminder
ORD00162,2026-04-12,Neha Ghosh,Patna,Customized 1 Litre Bottle,1L Water Bottle,Credit Card,1199,2,3,Low,Delivered,Normal Delivery
ORD00163,2026-04-12,Aakash Iyer,Nagpur,Customized 1 Litre Bottle,1L Water Bottle,UPI,1199,13,5,High,Delivered,Call Customer
ORD00164,2026-04-12,Sneha Chauhan,Mumbai,Borosilicate Glass Water Bottle 750ml,Water Bottle,COD,976,13,4,Medium,Delivered,Send Reminder
ORD00165,2026-04-12,Swati Agarwal,Nagpur,Motivational Borosilicate Glass Water Bottle 1L,1L Water Bottle,Debit Card,1164,6,5,Medium,Delivered,Send Reminder
ORD00166,2026-04-12,Meera Jain,Bangalore,Glass Lunch Box Set of 3 (300ml) without Bag,300ml Lunch Box Combos,COD,1799,5,1,High,Returned,Call Customer
ORD00167,2026-04-12,Rajesh Sharma,Mumbai,Borosilicate Glass Water Bottle 750ml,Water Bottle,Credit Card,883,2,4,Medium,Delivered,Send Reminder
ORD00168,2026-04-12,Anjali Tiwari,Delhi,Motivational Borosilicate Glass Water Bottle 1L,1L Water Bottle,COD,1069,11,5,High,Returned,Call Customer
ORD00169,2026-04-12,Sunita Mehta,Bangalore,Motivational Borosilicate Glass Water Bottle 1L,1L Water Bottle,COD,1109,12,5,Medium,Delivered,Send Reminder
ORD00170,2026-04-12,Harsh Agarwal,Lucknow,Borosilicate Glass Water Bottle 750ml,Water Bottle,UPI,893,10,5,Medium,Delivered,Send Reminder
